Date;Consommation (MW);Thermique (MW);Bagasse/charbon (MW);Hydraulique (MW);Photovoltaïque (MW);Eolien (MW);Bioénergies (MW)
01/01/2017 04:00;258.452;29.471;198.937;29.183;-0.434;-0.059;1.353
01/01/2017 05:00;251.673;30.472;194.092;26.283;-0.427;-0.06;1.313
01/01/2017 06:00;242.021;30.01;181.286;29.805;-0.359;-0.062;1.341
01/01/2017 07:00;233.028;24.341;173.22;22.226;11.997;-0.042;1.285
01/01/2017 08:00;245.9;14.836;163.957;19.252;46.46;0.03;1.365
01/01/2017 09:00;267.746;14.452;155.067;20.413;76.367;0.101;1.345
01/01/2017 10:00;288.298;-0.324;155.038;26.176;105.919;0.184;1.304
01/01/2017 11:00;305.416;-1.215;162.729;36.815;105.618;0.152;1.316
01/01/2017 12:00;322.248;-1.276;177.084;32.578;112.347;0.203;1.311
01/01/2017 13:00;316.841;-1.265;182.542;30.997;103.039;0.226;1.301
01/01/2017 14:00;303.866;-1.207;186.025;25.735;91.769;0.23;1.314
01/01/2017 15:00;292.346;11.885;173.789;37.607;67.931;-0.008;1.141
01/01/2017 16:00;286.512;41.784;166.332;37.706;39.251;0.141;1.297
01/01/2017 17:00;285.299;51.621;164.935;43.942;23.281;0.222;1.297
01/01/2017 18:00;290.494;67.637;163.82;45.184;12.595;-0.016;1.274
01/01/2017 19:00;303.892;79.879;164.44;54.668;3.562;0.071;1.272
01/01/2017 20:00;343.218;88.338;163.883;89.83;-0.472;0.14;1.219
01/01/2017 21:00;346.874;92.959;163.386;88.628;-0.47;0.31;1.178
01/01/2017 22:00;345.438;110.121;175.572;57.995;-0.44;0.095;1.21
01/01/2017 23:00;354.96;118.016;175.402;59.454;-0.435;0.329;1.309
02/01/2017 00:00;309.034;89.34;171.63;46.049;-0.459;0.872;1.211
02/01/2017 01:00;273.297;56.879;173.565;41.941;-0.426;0.156;1.181
02/01/2017 02:00;254.244;44.331;183.286;25.593;-0.423;0.286;1.171
02/01/2017 03:00;243.228;43.254;178.504;20.189;-0.433;0.544;1.169
02/01/2017 04:00;239.43;45.604;173.956;18.793;-0.422;0.337;1.162
02/01/2017 05:00;242.232;46.187;175.179;19.493;-0.424;0.64;1.157
02/01/2017 06:00;252.565;44.791;191.768;14.587;-0.369;0.631;1.155
02/01/2017 07:00;269.232;44.961;194.971;20.099;7.467;0.567;1.166
02/01/2017 08:00;303.671;45.154;195.204;28.02;33.778;0.326;1.188
02/01/2017 09:00;349.734;45.908;195.393;51.714;55.185;-0.017;1.552
02/01/2017 10:00;369.93;44.959;195.098;57.112;69.736;1.299;1.726
02/01/2017 11:00;385.287;52.978;195.103;49.773;84.844;0.718;1.871
02/01/2017 12:00;396.272;63.922;195.811;35.478;98.737;0.444;1.88
02/01/2017 13:00;394.1;74.211;188.915;19.952;108.925;0.22;1.877
02/01/2017 14:00;397.104;78.121;185.763;22.858;107.924;0.562;1.876
02/01/2017 15:00;401.926;77.777;191.804;29.323;100.624;0.521;1.877
02/01/2017 16:00;395.803;85.347;192.63;45.991;69.314;0.644;1.877
02/01/2017 17:00;384.727;93.422;196.33;43.017;49.312;0.766;1.879
02/01/2017 18:00;374.214;98.766;196.792;48.09;27.949;0.737;1.88
02/01/2017 19:00;372.493;108.926;196.499;53.945;10.413;0.829;1.881
02/01/2017 20:00;399.144;110.034;198.361;87.35;0.305;1.211;1.883
02/01/2017 21:00;394.017;103.928;202.336;85.307;-0.33;0.893;1.883
02/01/2017 22:00;381.926;107.005;207.38;64.813;-0.439;1.285;1.883
02/01/2017 23:00;381.77;104.955;208.736;65.771;-0.447;0.87;1.885
03/01/2017 00:00;334.614;93.588;202.646;35.834;-0.446;1.108;1.884
03/01/2017 01:00;295.181;59.6;197.728;34.958;-0.428;1.438;1.885
03/01/2017 02:00;273.061;56.599;196.959;16.383;-0.412;1.644;1.887
03/01/2017 03:00;261.919;55.554;189.072;14.416;-0.437;1.427;1.887
03/01/2017 04:00;252.903;54.23;182.432;12.66;-0.42;2.113;1.888
03/01/2017 05:00;254.397;56.46;180.071;14.661;-0.41;1.729;1.887
03/01/2017 06:00;264.271;59.168;180.808;21.178;-0.324;1.553;1.888
03/01/2017 07:00;281.366;61.333;180.972;24.674;11.099;1.394;1.895
03/01/2017 08:00;320.351;59.766;183.99;26.472;47.228;1;1.895
03/01/2017 09:00;373.356;61.583;182.133;44.068;82.376;1.306;1.891
03/01/2017 10:00;397.597;62.03;184.888;42.228;104.893;1.67;1.888
03/01/2017 11:00;410.544;61.699;185.717;39.428;119.617;2.212;1.871
03/01/2017 12:00;417.668;62.704;192.005;39.783;119.303;2.045;1.829
03/01/2017 13:00;407.867;61.728;193.342;29.991;118.68;2.254;1.871
03/01/2017 14:00;411.028;62.338;187.671;34.634;122.247;2.258;1.88
03/01/2017 15:00;416.621;69.203;193.558;43.645;106.971;2.018;1.226
03/01/2017 16:00;410.054;77.797;193.613;45.6;89.805;2.013;1.225
03/01/2017 17:00;397.164;91.651;193.668;45.255;62.404;2.385;1.801
03/01/2017 18:00;382.8;95.958;195.963;52.036;34.646;2.394;1.803
03/01/2017 19:00;375.618;105.049;201.846;55.019;9.725;2.172;1.807
03/01/2017 20:00;400.852;109.304;201.965;85.244;0.49;2.038;1.811
03/01/2017 21:00;396.143;107.201;201.675;84.011;-0.457;1.898;1.814
03/01/2017 22:00;384.208;107.166;209.444;64.489;-0.456;1.75;1.815
03/01/2017 23:00;383.257;105.499;208.288;66.14;-0.454;1.966;1.818
04/01/2017 00:00;335.069;94.132;189.496;48.581;-0.431;1.474;1.816
04/01/2017 01:00;295.166;63.608;181.808;46.89;-0.435;1.476;1.819
04/01/2017 02:00;274.271;60.663;182.079;28.95;-0.419;1.177;1.821
04/01/2017 03:00;261.59;59.089;181.934;18.466;-0.427;0.708;1.82
04/01/2017 04:00;255.604;59.407;181.933;11.834;-0.422;1.032;1.821
04/01/2017 05:00;257.621;60.734;182.268;11.783;-0.402;1.417;1.821
04/01/2017 06:00;266.503;63.485;183.055;17.379;-0.346;1.109;1.821
04/01/2017 07:00;284.92;62.422;182.595;25.895;10.994;1.195;1.819
04/01/2017 08:00;323.537;63.73;182.915;35.485;38.558;1.007;1.842
04/01/2017 09:00;371.204;65.359;188.072;47.507;67.396;0.959;1.911
04/01/2017 10:00;394.48;65.501;189.98;53.839;81.553;1.728;1.879
04/01/2017 11:00;405.199;73.229;189.361;43.239;96.571;0.925;1.874
04/01/2017 12:00;413.863;79.205;189.509;35.759;106.29;1.233;1.866
04/01/2017 13:00;403.105;77.662;189.56;27.593;104.818;1.608;1.864
04/01/2017 14:00;403.621;83.13;194.972;38.335;83.603;1.718;1.863
04/01/2017 15:00;409.535;98.028;196.786;34.392;76.426;2.036;1.866
04/01/2017 16:00;403.289;110.952;196.681;31.632;60.566;1.589;1.869
04/01/2017 17:00;389.981;112.942;197.239;38.867;37.859;1.204;1.87
04/01/2017 18:00;380.737;109.648;196.956;45.461;24.858;1.23;1.871
04/01/2017 19:00;375.795;110.12;196.817;56.786;7.846;1.469;1.873
04/01/2017 20:00;398.296;110.478;196.771;86.578;0.018;1.688;1.877
04/01/2017 21:00;388.214;109.043;196.583;78.426;-0.457;1.854;1.879
04/01/2017 22:00;377.466;107.79;197.399;68.256;-0.44;1.696;1.879
04/01/2017 23:00;376.634;109.735;199.687;63.938;-0.44;1.456;1.881
05/01/2017 00:00;328.064;80.641;199.547;45.482;-0.425;1.39;1.429
05/01/2017 01:00;291.623;59.647;199.106;31.16;-0.425;1.27;0.865
05/01/2017 02:00;268.911;61.801;188.996;16.216;-0.416;1.45;0.865
05/01/2017 03:00;256.636;60.973;179.708;14.187;-0.408;1.31;0.866
05/01/2017 04:00;251.121;61.056;172.151;15.509;-0.441;1.981;0.866
05/01/2017 05:00;253.771;63.117;163.959;24.635;-0.428;1.622;0.866
05/01/2017 06:00;264.959;62.456;182.54;17.496;-0.374;1.974;0.867
05/01/2017 07:00;282.595;61.041;182.12;27.564;9.447;1.56;0.864
05/01/2017 08:00;321.128;63.552;173.183;48.218;34.577;0.741;0.857
05/01/2017 09:00;369.86;63.687;185.266;58.444;59.713;1.1;1.65
05/01/2017 10:00;394.488;69.875;188.45;39.431;93.314;1.515;1.903
05/01/2017 11:00;405.558;81.338;188.963;31.131;100.253;1.726;2.148
05/01/2017 12:00;416.227;81.454;189.303;34.678;107.135;1.503;2.155
05/01/2017 13:00;406.073;82.798;188.751;27.799;103.048;1.518;2.159
05/01/2017 14:00;407.01;93.043;189.46;24.064;96.795;1.512;2.137
05/01/2017 15:00;413.183;91.919;190.707;34.457;92.596;1.381;2.123
05/01/2017 16:00;410.191;94.217;189.038;38.312;84.898;1.601;2.126
05/01/2017 17:00;397.94;98.647;193.471;43.082;58.693;1.918;2.129
05/01/2017 18:00;386.278;110.977;193.43;46.79;31.281;1.67;2.13
05/01/2017 19:00;380.735;109.163;195.757;63.385;8.999;1.317;2.114
05/01/2017 20:00;405.476;111.173;196.965;92.641;0.879;1.728;2.091
05/01/2017 21:00;393.623;104.231;195.686;89.957;-0.2;1.86;2.089
05/01/2017 22:00;382.051;106.844;196.11;75.733;-0.421;1.696;2.089
05/01/2017 23:00;384.312;107.675;200.86;72.191;-0.448;1.943;2.091
06/01/2017 00:00;335.223;91.721;200.967;39.251;-0.442;1.623;2.103
06/01/2017 01:00;298.623;62.671;201.286;31.76;-0.425;1.21;2.121
06/01/2017 02:00;276.987;60.72;196.938;16.246;-0.423;1.37;2.136
06/01/2017 03:00;264.332;60.265;186.978;14.03;-0.423;1.349;2.133
06/01/2017 04:00;258.228;59.885;182.032;13.363;-0.421;1.231;2.137
06/01/2017 05:00;262.222;61.854;181.195;15.979;-0.425;1.488;2.131
06/01/2017 06:00;273.394;61.619;190.016;18.215;-0.28;1.707;2.117
06/01/2017 07:00;287.88;61.804;191.747;19.213;11.49;1.523;2.104
06/01/2017 08:00;328.288;62.441;173.815;42.737;45.202;2.006;2.087
06/01/2017 09:00;375.589;64.083;165.406;68.136;74.048;1.834;2.082
06/01/2017 10:00;397.828;62.404;195.021;38.833;97.187;2.304;2.08
06/01/2017 11:00;409.561;63.623;191.993;31.746;118.075;2.056;2.069
06/01/2017 12:00;415.617;63.624;186.753;36.152;125.539;1.819;1.731
